Наименование,Изображение,Цена,Остаток,Упаковка,Описание,Заказ
"10,3 - Перчатки 10 класс (3 нити) с ПВХ (С)",,11,1210,"Количество: 500 пар
Вес: 15.6 кг
Объем: 0.091 м","Вес(грамм): 28-29, Плотность(текс): 82, Длина(см): 21,5-22,5
 ",
"10,3 - Перчатки 10 класс (3 нити) серые с ПВХ (С)",,"10,2",500,"Количество: 500 пар
Вес: 15.6 кг
Объем: 0.091 м",,
"10,4 - Перчатки 10 класс (4 нити) графит с ПВХ (С)",,"10,4",100,"Количество: 500 пар
Вес: 18.4 кг
Объем: 0.115 м","Вес(грамм): 38-39
Плотность(текс):116
Длина(см): 22,5-23,5",
"10,4 - Перчатки 10 класс (4 нити) с ПВХ (С)",,"11,9",21183,"Количество: 500 пар
Вес: 18.4 кг
Объем: 0.115 м","Вес(грамм): 38-39
Плотность(текс):116
Длина(см): 22,5-23,5",
"10,4 - Перчатки 10 класс (4 нити) с ПВХ эконом (С)",,"9,8",1753,"Количество: 500 пар
Вес: 13 кг
Объем: 0.08 м","Вес(грамм): 24-25Плотность(текс): 66Длина(см): 21,5-22,5",
"10,4 - Перчатки 10 класс (4 нити) серые с ПВХ (С)",,"11,4",34768,"Количество: 500 пар
Вес: 18.4 кг
Объем: 0.115 м",,
"10,4 - Перчатки 10 класс (4 нити) ХБ (С)",,"10,4",13541,"Количество: 500 пар
Вес: 17.4 кг
Объем: 0.115 м","Вес(грамм): 32-33
Плотность(текс):116
Длина(см): 22,5-23,5",
"10,4 - Перчатки 10 класс (4 нити) ХБ стандарт (С)",,9,1,"Количество: 500 пар
Вес: 17 кг
Объем: 0.115 м",,
"10,4 - Перчатки 10 класс (4 нити) ХБ эконом (С)",,"7,9",3498,"Количество: 500 пар
Вес: 17 кг
Объем: 0.115 м","Вес(грамм): 17-18
Плотность(текс): 66
Длина(см): 21,5-22,5",
"10,4 - Перчатки 10 класс (4 нити) черные с ПВХ (С)",,"11,7",21180,"Количество: 500 пар
Вес: 18.4 кг
Объем: 0.115 м","Вес(грамм): 38-39
Плотность(текс):116
Длина(см): 22,5-23,5",
"10,4 - Перчатки 10 класс (4 нити) черные ХБ",,"10,2",1840,"Количество: 500 пар
Вес: 31 кг
Объем: 0.115 м",,
"10,5 - Перчатки 10 класс (5 нитей) графит с ПВХ (С)",,"12,5",74,"Количество: 300 пар
Вес: 15 кг
Объем: 0.087 м","Вес(грамм): 44-45
Плотность(текс):132
Длина(см): 22,5-23,5",
"10,5 - Перчатки 10 класс (5 нитей) с ПВХ (С)",,"13,7",68469,"Количество: 300 пар
Вес: 15 кг
Объем: 0.087 м","Вес(грамм): 45-46
Плотность(текс):132
Длина(см): 22,5-23,5",
"10,5 - Перчатки 10 класс (5 нитей) с ПВХ волна (С)",,14,3629,"Количество: 300 пар
Вес: 16 кг
Объем: 0.087 м","Вес(грамм): 46-47
Плотность(текс):132
Длина(см): 22,5-23,5",
"10,5 - Перчатки 10 класс (5 нитей) серые с ПВХ (С)",,"12,4",41993,"Количество: 300 пар
Вес: 15 кг
Объем: 0.087 м",,
"10,5 - Перчатки 10 класс (5 нитей) ХБ (С)",,"12,3",6803,"Количество: 300 пар
Вес: 13 кг
Объем: 0.087 м","Вес(грамм): 39-40
Плотность(текс):132
Длина(см): 22,5-23,5",
"10,5 - Перчатки 10 класс (5 нитей) ХБ серые (С)",,"10,3",1200,"Количество: 300 пар
Вес: 13 кг
Объем: 0.09 м",,
"10,5 - Перчатки 10 класс (5 нитей) черные с ПВХ (С)",,"12,9",27017,"Количество: 300 пар
Вес: 15 кг
Объем: 0.087 м","Вес(грамм): 44-45
Плотность(текс):132
Длина(см): 22,5-23,5",
"10,6 - Перчатки 10 класс (6 нитей) графит с ПВХ (С)",,"12,7",6,"Количество: 300 пар
Вес: 16 кг
Объем: 0.091 м","Вес(грамм): 49-50
Плотность(текс):148
Длина(см): 22,5-23,5",
